Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,gender,age,disease state,tissue,GEO Accession
SRR8438164,15315355,765767750,50,263,SRX5245638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247846,SAMN10737082,simple,10090,Mus musculus,GSM3561139,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.1,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561139
SRR8438165,15023751,751187550,50,258,SRX5245638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247846,SAMN10737082,simple,10090,Mus musculus,GSM3561139,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.1,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561140
SRR8438166,19147110,957355500,50,325,SRX5245639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247847,SAMN10737081,simple,10090,Mus musculus,GSM3561140,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.2,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561141
SRR8438167,18995930,949796500,50,322,SRX5245639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247847,SAMN10737081,simple,10090,Mus musculus,GSM3561140,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.2,Total kidney,male,Wk12,contralateral kidney (healthy control),Total kidney,GSM3561142
SRR8438168,16945280,847264000,50,286,SRX5245640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247848,SAMN10737080,simple,10090,Mus musculus,GSM3561141,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.3,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561143
SRR8438169,16756283,837814150,50,282,SRX5245640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247848,SAMN10737080,simple,10090,Mus musculus,GSM3561141,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.3,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561144
SRR8438170,15599026,779951300,50,265,SRX5245641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247849,SAMN10737079,simple,10090,Mus musculus,GSM3561142,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.4,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561145
SRR8438171,15823674,791183700,50,269,SRX5245641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247849,SAMN10737079,simple,10090,Mus musculus,GSM3561142,GEO,SRA834299,09,2019,Wu,Total kidney,Male.CLK.Total.4,Total kidney,male,Wk12,day 5 after unilateral ureteral obstruction (UUO) surgery (moderate kidney injury model),Total kidney,GSM3561146
SRR8438172,15029650,751482500,50,254,SRX5245642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247850,SAMN10737078,simple,10090,Mus musculus,GSM3561143,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.1,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561147
SRR8438173,15099417,754970850,50,255,SRX5245642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247850,SAMN10737078,simple,10090,Mus musculus,GSM3561143,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.1,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561148
SRR8438174,11224086,561204300,50,192,SRX5245643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247990,SAMN10737077,simple,10090,Mus musculus,GSM3561144,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.2,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561149
SRR8438175,11183233,559161650,50,191,SRX5245643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247990,SAMN10737077,simple,10090,Mus musculus,GSM3561144,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.2,Total kidney,male,Wk12,day 10 after unilateral ureteral obstruction (UUO) surgery (severe kidney injury model),Total kidney,GSM3561150
SRR8438176,18016294,900814700,50,306,SRX5245644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP178890,PRJNA514912,31537650,"",SRS4247991,SAMN10737076,simple,10090,Mus musculus,GSM3561145,GEO,SRA834299,09,2019,Wu,Total kidney,Male.D5UUO.Total.3,Proximal tubule,male,Wk12,contralateral kidney (healthy control),Proximal tubule,GSM3561151
